Availability,Accuracy,Avg Reward,Success Rate (%),Avg Learning Speed
0.2,0.2,2.872,97.6,0.05986590038314176
0.2,0.4,3.772,97.8,0.061614294516327786
0.2,0.6,5.39,98.0,0.06798096532970768
0.2,0.8,5.868,98.2,0.06982265046781176
0.2,1.0,6.6,98.0,0.07376807317792859
0.4,0.2,-3.492,96.6,0.04429090264859598
0.4,0.4,1.814,97.8,0.0558659217877095
0.4,0.6,5.174,99.0,0.06716818914562063
0.4,0.8,7.0,100.0,0.07370283018867925
0.4,1.0,8.482,99.8,0.08161932745674175
0.6,0.2,-15.694,96.6,0.03038036213391664
0.6,0.4,-3.17,97.39999999999999,0.04485109436670255
0.6,0.6,2.922,99.4,0.0584385226741468
0.6,0.8,7.384,100.0,0.0755287009063444
0.6,1.0,9.97,100.0,0.09240436148586215
0.8,0.2,-63.452,60.8,0.014899576852017402
0.8,0.4,-10.574,98.6,0.03412503412503413
0.8,0.6,1.738,100.0,0.054118411083450585
0.8,0.8,8.44,100.0,0.08185985592665357
0.8,1.0,11.532,100.0,0.10688328345446772
1.0,0.2,-122.546,7.6,0.01047361695888058
1.0,0.4,-37.988,85.0,0.019738660139749713
1.0,0.6,-1.456,100.0,0.0463821892393321
1.0,0.8,7.636,100.0,0.07633587786259542
1.0,1.0,12.044,100.0,0.11165698972755696
